id,first_name,last_name,email,gender,ip_address,card,balance,account,zip code,time zone,country,city,sector,date,time
1,Fredric,Szymanowski,fszymanowski0@purevolume.com,Male,51200249132,3544749419670616,"€715625,12",DE93 1672 1649 3649 2977 08,,Asia/Kuala_Lumpur,Malaysia,Kuantan,Capital Goods,2018-12-30 02:03:45,13:06:44
2,Anna-diana,Madgwick,amadgwick1@msn.com,Female,92.38.17.152,3560797477264904,"€1370008,31",CY17 1878 0992 OZRJ GG7D MLOD YXMT,582 31,Europe/Stockholm,Sweden,Linköping,,2018-06-24 23:55:01,4:05:49
3,Verney,Kinsett,vkinsett2@yolasite.com,Male,223226180252,201439228779093,"€1027583,42",FR75 4373 5078 48ZU 8X2I 4ALU O72,,Asia/Chongqing,China,Ji’an,Energy,2018-08-14 19:41:36,18:42:33
4,Terrill,McFetrich,tmcfetrich3@wikia.com,Male,186.248.62.100,6761710825664873,"€144871,31",EE57 1955 0460 2573 0082,,Asia/Makassar,Indonesia,Tuapukan,n/a,2018-10-12 11:46:11,17:37:33
5,Fidel,Amberger,famberger4@tuttocitta.it,Male,35214252134,5537028710728991,"€104794,93",NL88 YIHL 0191 1294 61,59800,Asia/Kuala_Lumpur,Malaysia,Kuala Lumpur,n/a,2018-04-24 15:01:40,15:17:53
6,Perry,Brayley,pbrayley5@who.int,Female,60.147.42.217,3568028159039121,"€999510,76",HR83 5151 1811 3042 0083 0,891 25,Europe/Stockholm,Sweden,Örnsköldsvik,Health Care,2018-12-29 07:03:36,16:00:17
7,Vernor,Sowten,vsowten6@google.de,Male,179.86.102.83,5474296554701763,"€1397606,62",NL77 SSGM 7942 7788 69,2970-841,Europe/Lisbon,Portugal,Venda Nova,n/a,2019-02-01 05:54:16,9:32:20
8,Emelda,Cozins,ecozins7@accuweather.com,Female,31.83.104.128,3539453099578291,"€1080279,38",FR65 7347 4695 501T JACV MAT7 224,,Asia/Makassar,Indonesia,Oenpeotnai,,2018-04-21 13:38:40,6:57:16
9,Ainslie,Nunson,anunson8@hostgator.com,Female,195.61.203.144,5602254434602391,"€143200,84",DO17 ZBSF 1961 9521 4536 8104 5616,,Africa/Lusaka,Zambia,Mufulira,Finance,2019-03-09 18:09:59,9:21:27
10,Regine,Wilkison,rwilkison9@bbb.org,Female,106178136185,3555443685758752,"€1264138,61",FR33 2336 0211 47X0 ZBK2 FSVQ Y22,2425-724,Europe/Lisbon,Portugal,Monte Agudo,Finance,2018-12-03 15:32:59,23:33:33
11,Odelinda,Willmett,owillmetta@spotify.com,Female,61159205105,3529474076970642,"€1167128,62",PL75 1006 6251 4812 1707 5876 4676,34064 CEDEX 2,Europe/Paris,France,Montpellier,Public Utilities,2018-07-20 19:56:59,6:02:05
12,Gilli,Sharp,gsharpb@ehow.com,Female,131.135.44.210,3569699108150869,"€190842,90",RO82 TOBD RXJI SIBF KYGO XXIN,,Asia/Urumqi,China,Duqiong,Capital Goods,2018-09-02 13:10:31,13:49:52
13,Mariya,Castanie,mcastaniec@ted.com,Female,234246235176,3536217040104645,"€15198,99",CY81 8029 4715 PXPO I9H9 VQ13 GZMO,,Asia/Jakarta,Indonesia,Cijeungjing Kaler,Health Care,2018-06-25 09:56:26,8:37:28
14,Duane,Rowdell,drowdelld@umn.edu,Male,116.93.196.255,5602219919088515,"€1010661,41",FR41 3368 5061 19WP CHCX S55N O91,,America/Tegucigalpa,Honduras,El Perico,Technology,2018-10-01 14:18:18,14:43:40
15,Ingaberg,Dillimore,idillimoree@yale.edu,Female,138130158150,6395203715216958,"€450172,51",KW63 YOJV WUXE N3K2 S23O PHKQ 2DOQ RT,67270,Asia/Bangkok,Thailand,Khao Kho,Consumer Services,2018-08-11 02:43:30,9:21:20
16,Charmane,Murrow,cmurrowf@e-recht24.de,Female,151.79.49.89,30360886280744,"€207143,21",FR26 9919 0241 83S7 BER5 O3IY 823,5473,America/Argentina/Cordoba,Argentina,Ulapes,n/a,2018-08-30 10:14:53,0:43:05
17,Phillip,Cafferty,pcaffertyg@sbwire.com,Male,206.80.12.202,"5,64182729826213E+017","€424345,85",FI43 3425 7619 7316 93,79950-000,America/Campo_Grande,Brazil,Naviraí,Consumer Services,2018-10-20 22:46:05,14:45:10
